news_headline,news_article,news_category
Barcelona to be fined after Messi's tribute to Maradona: Reports,"Barcelona will reportedly pay a fine of $3,600 after Lionel Messi paid tribute to Diego Maradona on Sunday by celebrating in a Newell's Old Boys jersey. Messi took off Barcelona's blue-and-burgundy strip to reveal the red-and-black of Newell's after scoring a goal against Osasuna. But the touching tribute was against the rules of the Royal Spanish Football Federation.",sports
Giving statements to media is loss to the party: Tariq Anwar on Sibal,"After Congress leader Kapil Sibal criticised the party's performance in Bihar Assembly polls, General Secretary Tariq Anwar said, ""If he is giving a statement in the media, it will only be a loss to the party."" He added, ""If the party lacks something and he wants to give a suggestion, he should meet the party high command and president.""",politics
Dutt's daughter responds after being asked to comment on his past drug addiction,"Sanjay Dutt's daughter Trishala replied to an Instagram user who asked her to comment on her father's past drug addiction as a psychotherapist. ""Addiction is a chronic disease characterised by drug...use that's compulsive,"" she wrote. ""He'll always be in recovery...Even though he's not using anymore. I'm proud of my father for...seeking help...There's nothing...to be ashamed about,"" she added.",entertainment
Lawnmower robot in Germany messages owner as thief tries to steal it,"A lawnmower robot in Germany sent a message to its owner that it had flipped upside down while a thief tried to steal it. The owner spotted a thief with the robot tucked under his arm when he went outside to the lawn to check on the device. Caught in the act, the thief dropped the lawnmower robot and escaped.",technology
Do elderly women in farmer protests look like Khalistanis?: SAD chief,"Shiromani Akali Dal (SAD) President Sukhbir Singh Badal on Thursday said that there are elderly women in the farmers' protests. He added, ""Do they look like Khalistanis? It is a way of calling farmers of the country as anti-nationals."" Badal further said, ""Does BJP or anybody else have the right to declare anybody as anti-national?""",politics
"Trump supporter made fake Twitter accounts, raised $7K for LGBT campaign","A 21-year-old man who created fake accounts on Twitter and impersonated US President Donald Trump's family members was reportedly able to raise $7,384 for a non-existent ""Gay Voices for Trump"" campaign. A parody account run by Josh Hall even prompted President Trump to retweet an article falsely claiming that his sister, Elizabeth Trump Grau, had joined Twitter to support him.",technology
Detained Hong Kong pro-democracy activist Agnes Chow denied bail,"A Hong Kong court on Wednesday denied bail to pro-democracy activist Agnes Chow, who was arrested last week. Chow was appealing against her 10-month prison sentence after pleading guilty to her role in a siege of police headquarters during anti-government protests in June last year. Chow, along with activists Joshua Wong and Ivan Lam, was sentenced on December 2.",world
Researchers 3D print working boat a third of the thickness of a hair,"Researchers at the Netherlands' Leiden University have 3D printed a little boat measuring 30 micrometres, about a third of the thickness of a hair. The researchers also printed spiral-shaped particles, which rotate along while they are propelled through the water. The 3D-printed boat is part of an exploration of microswimmers like bacteria and sperm.",science
MI break record for playing the most number of T20 matches,"Mumbai Indians have broken the record for playing the most number of T20 matches, with the IPL 2020 match against Delhi Capitals being their 222nd T20 match. They overtook English county side Somerset, who have played 221 matches. English county side Hampshire are third on the list, having played 217 T20 matches.",sports
Mink mass graves in Denmark might contaminate groundwater: Study,A study commissioned by Denmark's Environmental Protection Agency states that decomposing mink buried in dirt pits following a nationwide cull might contaminate groundwater. Danish government ordered a cull of some 1.7 crore mink in November after hundreds of farms suffered outbreaks of coronavirus. Authorities buried some of the mink in pits in a military area under two metres of soil.,world
"Shaheer, Ruchikaa share first pictures after court marriage","Shaheer Sheikh and Ruchikaa Kapoor have shared first pictures from their court wedding on social media. In the pictures, Shaheer can be seen in white kurta-pyjama and sunglasses, and Ruchikaa in light blue salwar kameez. ""Off on an adventure called Forever...#HappilyEverAfter #ForeverPerson,"" Ruchikaa wrote with a heart emoji on Instagram.",entertainment
Indian-American Raja Chari among 18 astronauts selected for next moon missions,"Indian-American astronaut Raja Chari is among the 18 astronauts selected to begin training for upcoming Artemis missions to the moon, NASA announced on Wednesday. The first woman and the next man on the moon will come from this group of 18 astronauts. ""Proud to be part of the team working to take humans to the moon to stay,"" Chari tweeted.",science
"Sushant issue has not faded, CBI is investigating: Bihar CM Nitish","Bihar Chief Minister Nitish Kumar has said that the death case of Bollywood actor Sushant Singh Rajput has not faded away due to the state Assembly elections. He said, ""The CBI is investigating the case. It is the CBI's duty, and everything is being done."" He added, ""CBI will probe the case, we are now busy in the elections.""",politics
Canada approves use of Pfizer/BioNTech coronavirus vaccine,"After the UK and Bahrain, Canada has approved the Pfizer/BioNtech COVID-19 vaccine for widespread use. Regulator Health Canada said the vaccine was approved ""after a thorough, independent review of the evidence"". The country's Saskatchewan province is expected to receive enough doses to vaccinate 1,950 health workers by Tuesday. Canada will receive up to 2,49,000 doses of the vaccine this month.",world
Czech search engine seeks $417 mn from Google over competition claims,"The Czech Republic's web search platform Seznam is seeking 9.072 billion crowns ($417 million) in damages from Google alleging it restricted competition. A Google spokesperson said they haven't yet received the claim and added that Google does not unfairly favour its own services. Users are not locked in and competition is just one click away on the internet, Google said.",technology
I get messages asking me to sleep with or marry someone: Aditi Sanwal on casting couch,"Talking about casting couch, 'Kasautii Zindagii Kay 2' actress Aditi Sanwal said that she often receives vulgar messages from people claiming to be casting agents. ""Sometimes I receive messages asking me to sleep with or marry someone,"" she added. Aditi further said, ""I donâ€™t even think such people are genuine, so I just block them.""",entertainment
Man's lie caused South Australia lockdown where 1 per family can go out,South Australia's lockdown where only one person from a household is allowed to leave home was caused by a man's lie to contact tracers. The man said he was a customer at a pizza shop when in fact he worked several shifts there with another COVID-19-infected worker. Authorities assumed he caught a highly contagious strain during a very short exposure.,world
Japan's greenhouse emissions fell 2.7% to record low in FY 2019-20,Japan's greenhouse gas emissions fell 2.7% to a record low in the financial year 2019-20. The drop was Japan's sixth straight annual drop. Emissions dropped to 1.213 billion metric tonnes of CO2 equivalent from 1.247 billion tonnes the previous year. The levels recorded are the lowest since comparable data became available in the financial year 1990-91.,science
I'm against censorship on digital platforms: Sumeet,"Speaking about the Ministry of Information and Broadcasting regulating streaming platforms, actor Sumeet Vyas stated that he stands against censorship. ""This is a very undemocratic move...we do have a right to information and the freedom to speech,"" he said. While he opposed censorship, Sumeet added, ""I...support...rating process. Series and films...on OTT should be rated according to age.""",entertainment
Tesla reveals women comprise 17% of its total US leadership roles,"Tesla revealed in its first-ever US diversity report that women comprise 17% of the company's leadership roles and 21% of the overall workforce. It added that Black people make up 4% of its US leadership roles and 10% of its total workforce. ""While women are historically underrepresented...we recognise we have work to do in this area,"" Tesla said.",technology
Man held after dumping human head in recycle bin in Spain; video surfaces,"A man was spotted dumping a human head in a recycling bin in Spain's Huelva and was arrested from a nearby flat, where the officers also discovered the body of the dead man. Police were alerted when the accused was seen carrying the head that was poking out of a bag, with some witnesses mistaking it as a Halloween joke.",world
France to investigate 76 mosques suspected of 'separatism',"France will investigate 76 mosques suspected of fomenting Islamist ideology as part of its action against ""separatism"", Interior Minister GÃ©rald Darmanin said. Where suspicions are confirmed, the mosque will be closed down, he added. The action comes after several Islamist attacks in France recently, including the beheading of a teacher who had shown his class caricatures of Prophet Muhammad.",world
Pak's Raza Hasan expelled from domestic cricket season for COVID-19 breach,"Pakistan spinner Raza Hasan was sent home from the Quaid-e-Azam Trophy after he left the bio-bubble at a hotel without clearance. ""It is sad and unfortunate that despite several reminders...Raza Hasan decided to take matters in his hand and overstepped the line,"" said PCB. ""He has been expelled from the tournament and won't be allowed for remaining season,"" PCB added.",sports
"TRS wins 55 seats, BJP 48 and AIMIM 44 in GHMC polls","The results for 149 of 150 seats of Greater Hyderabad Municipal Corporation (GHMC) have been declared, with TRS winning 55 seats, BJP recording a victory in 48 seats and AIMIM in 44 seats. Congress managed to win two seats in the polls. At least 76 seats are required by a party or an alliance of parties to secure a majority.",politics
Japan's spacecraft sends capsule with asteroid samples towards Earth,"Japan's Hayabusa2 spacecraft successfully separated a capsule and sent it towards Earth to deliver samples from asteroid Ryugu. Hayabusa2 left the asteroid Ryugu, about 300 million kilometres away, a year ago. The capsule is now descending to land in a remote, sparsely populated area of Woomera, Australia. Hayabusa2 spacecraft had launched six years ago from Earth.",science
Paris sees 700-km traffic jams hours before second lockdown,"Paris region saw traffic jams with a combined length of around 700 kilometres on Thursday evening, just hours before France entered its second coronavirus lockdown. Traffic jams were also reported around the cities of Lyon and Bordeaux in the hours prior to the lockdown taking effect. Many Parisians left the city to spend lockdown in the countryside, French media reported.",world
"Trump loses 133,000 Twitter followers in 2 weeks, Biden gains 1.1 mn","President Donald Trump has lost 133,902 followers since November 17 while president-elect Joe Biden has gained around 1.15 million, according to Factbase. The website, which tracks Donald Trump's social media activities closely, has measured small declines for Trump for 11 days in a row now. Trump currently has 88.8 million followers, while Joe Biden has 20.2 million.",world
US attorneyâ€™s office is investigating my tax affairs: Hunter Biden,"US President-elect Joe Biden's son Hunter Biden on Wednesday said US attorney's office in Delaware is investigating his ""tax affairs"". Hunter said he took the case ""very seriously"" but was confident an ""objective review"" would demonstrate that he handled his affairs ""legally and appropriately"". Biden's transition team in a statement said that the president-elect was ""deeply proud of his son"".",world
Actor & Gangs of Wasseypur writer Zeishan booked for cheating producer of â‚¹1.5cr,"The Mumbai Police has registered an FIR against actor and writer Zeishan Quadri. A co-producer had filed a complaint against him for allegedly cheating him of â‚¹1.5 crore, which the producer claimed he and another friend had invested in a web series that Quadri was supposedly making. Quadri co-wrote and starred in Anurag Kashyap's 'Gangs of Wasseypur'.",entertainment
US-led West attempting to undermine our ties with India: Russia,"Russian Foreign Minister Sergei Lavrov has accused the US-led West of trying to ""undermine"" its close and privileged ties with India. He also alleged that the US is putting ""tough pressure"" on India to undermine Indo-Russian cooperation in the military and technical area. He further accused the West of engaging India in ""anti-China games"" through the Quad and Indo-Pacific construct.",world
"Till the time Bumrah, Shami are there, India can rock Aus top order: Aakash","Cricketer-turned-commentator Aakash Chopra has said that till the time Jasprit Bumrah and Mohammad Shami lead the team's pace attack, India will have the ability to rock Australia's top order in the upcoming Test series. ""As they say, fast bowlers hunt in pairs. So, your pair is already ready,"" he added. First Test will begin at Adelaide on December 17.",sports
"Google, Apple, 44 others support challenge to block H-1B visa changes","Google, Apple and 44 other US firms and organisations filed an amicus brief supporting a lawsuit challenging upcoming rule changes to H-1B visa eligibility. The lawsuit was recently filed by the US Chamber of Commerce along with others, including 12 organisations and universities. The rules will ""stifle the ability of American companies to hire and retain global talent"", Twitter said.",world
Salman shot London Dreams concert scenes in spite of losing his dogs: Director,"Director Vipul Amrutlal Shah, while recalling the shooting of his 2009 film 'London Dreams', said, ""We'd two days of shooting sequences of musical concerts, one month apart from each other."" He added, ""Both...times, Salman (Khan) lost his dogs. In spite of losing dogs...he continued to shoot and after pack up at 6-7 am, he...completed the funeral...and reported back...at 4 pm.""",entertainment
"Bollywood lacks spine, should stand with their community: Vijender on farmers' protest","Amid the ongoing farmers' protests against the recently passed agricultural bills by the government, boxer Vijender Singh has criticised Bollywood for not supporting the farmers. ""When the oil prices were hitting the roof back in 2014, celebrities like Amitabh Bachchan and Akshay Kumar, were extremely critical of the then government...and now...they are nowhere to be found,"" he said.",entertainment
Parineeti shares tweet of 1st film announcement as she completes 9yrs in B'wood,"Actress Parineeti Chopra, who made her debut with 'Ladies vs Ricky Bahl', on Wednesday completed nine years in the film industry. Taking to social media, the actress shared the old tweets of her first film announcement. ""HOW IT STARTED. 9 years...Thank you,"" she captioned the post. Parineeti will be next seen in 'Sandeep Aur Pinky Faraar' and 'Saina'.",entertainment
Japan's greenhouse emissions fell 2.7% to record low in FY 2019-20,Japan's greenhouse gas emissions fell 2.7% to a record low in the financial year 2019-20. The drop was Japan's sixth straight annual drop. Emissions dropped to 1.213 billion metric tonnes of CO2 equivalent from 1.247 billion tonnes the previous year. The levels recorded are the lowest since comparable data became available in the financial year 1990-91.,science
"18 Trump rallies led to over 30k COVID-19 cases, likely over 700 deaths: Study","About 18 election rallies by US President Donald Trump between June 20 and September 22 are estimated to have led to over 30,000 coronavirus cases and likely led to around 700 deaths, a study by Stanford University researchers stated. The communities in which Trump rallies took place paid a high price in terms of disease and death, the researchers said.",world
Google illegally spied on workers before firing them: US labour board,US' National Labor Relations Board (NLRB) issued a complaint on Wednesday accusing Google of illegally surveilling and questioning workers who were fired for protesting against its policies and attempting to organise a union. NLRB also found Google's policies for accessing documents and its tactics for investigating employees unlawful. Google said it was confident it acted legally.,technology
Italy fines Apple $12M for 'misleading' water-resistant iPhone ads,"Italy's antitrust body has fined Apple $12 million for ""aggressive and misleading"" commercial practices regarding iPhones. The regulator said Apple advertised that several iPhone models were water-resistant without clarifying they were only so under certain circumstances. It added that Apple's disclaimer of the models not being covered by warranty in case of damage from liquids tricked clients.",technology
Apple sued for $217M in EU for 'planned' slowing down of iPhones,"Apple is facing lawsuits in European countries seeking $217 million for the ""planned"" slowing down of older iPhone 6 devices. ""Apple pushed updates to mask problems with the battery, knowing it would slow down phones,"" Els Bruggeman, Euroconsumers' head of policy and enforcement claimed. A similar lawsuit was filed in US where Apple agreed to pay $113 million in settlement.",technology
"Paolo Rossi, who won 1982 FIFA World Cup with Italy, dies at 64","Ex-Italian footballer Paolo Rossi, who guided his national team to victory in the 1982 World Cup died at the age of 64. The news of Rossi's death was first reported by Italian media on Thursday, later his wife confirmed it on Instagram. Rossi scored six goals in the 1982 edition after he almost missed the tournament due to a ban.",sports
IISc and Indian Oil sign MoU for hydrogen generation technology,"Bengaluru's IISc and the Indian Oil Corporation signed an MoU to develop and demonstrate biomass gasification-based hydrogen generation technology. The developed technology will be scaled up and demonstrated at Indian Oil's R&D Centre at Faridabad. Hydrogen generated from this demonstration plant will be used to power fuel cell buses as part of a ""bigger project"" being conceived by Indian Oil.",technology
US family welcomes baby born from embryo frozen for 27 years,"A US family revealed they welcomed a baby girl in late October this year from an embryo that was frozen in October 1992 and remained frozen until February this year. In February, Tina and Ben Gibson of Tennessee adopted the embryo. The National Embryo Donation Center claims it set the record for the longest-frozen embryo to ever come to birth.",science
"I really didn't know what misogynistic meant, how can I dislike women: Pandya","Reacting to being called a 'misogynist' following 'Koffee With Karan' controversy, Team India all-rounder Hardik Pandya said, ""I really didnâ€™t know what 'misogynistic' meant...I laughed thinking it was some word being used to make fun of me."" He added, ""How can I dislike women? Mom, sister, sister-in-law, Natasa...theyâ€™re all women. I adore them. My home is all about women.""",sports
WHO hopes to have 500 mn COVID-19 vaccine doses by March: Scientist,"WHO chief scientist Soumya Swaminathan said they hope to have 500 million doses of COVID-19 vaccine for distribution by March 2021 through its global COVAX plan. The goal is to get at least 2 billion doses by end of 2021, which will vaccinate 20% of the populations of countries part of COVAX, she added. WHO's COVAX programme includes 189 countries.",world
Japan to fund AI matchmaking systems to fight falling birth rate,"Japan is funding sophisticated artificial intelligence (AI) systems to fight country's falling birth rate, the Yomiuri Shimbun newspaper said. As per government data, number of marriages fell by 2,00,000 in Japan between 2000 and 2019. The latest funding will allow access to systems that pair people with potential partners irrespective of the age and income conditions imposed by the participants.",world
Congress defeats BJP to win Nagpur Graduate constituency in MLC polls,"Congress candidate Abhijit Wanjarri on Friday won the Nagpur division Graduate constituency in Maharashtra Legislative Council elections. Wanjarri defeated the opposition party BJP's candidate to secure the seat. BJP fought on 6 seats that went to polls on December 1, while the Congress contested on three seats.",politics
Amazon firing manufacturing staff working on drone project: Report,"Amazon is reportedly laying off dozens of research and development and manufacturing staff working on the delivery drone project called ""Amazon Prime Air"" and turning to external manufacturers. It has reached tentative deals with Spain and Austria's aerospace companies to manufacture component parts for its drones, FT reported. Amazon plans to use electric drones to deliver packages under 2.3 kg.",technology
Before and after pics show collapse of world's 2nd largest radio telescope,Space tech company Maxar has shared before and after satellite images of the world's second-largest single-dish radio telescope at the Arecibo Observatory in Puerto Rico which collapsed recently. It had suffered damages due to tropical winds in August following which one of the suspension cables snapped last month. A decision to dismantle the structure had been taken before it collapsed.,science
NCP dismisses reports of Sharad Pawar replacing Sonia as UPA chief,"The Nationalist Congress Party (NCP) on Thursday dismissed reports of party chief Sharad Pawar replacing Congress President Sonia Gandhi as the chairperson of the United Progressive Alliance (UPA). ""The reports appearing in the media seem to have been planted with vested interest to divert the attention from the ongoing farmers' agitation,"" NCP chief spokesperson Mahesh Tapase said.",politics
Michael Schumacher's son Mick to race for Haas in 2021 F1 season,"Mick Schumacher, son of seven-time world champion Michael Schumacher, will be racing for Haas in the next Formula One season. The 21-year-old German signed a multi-year agreement and will partner Russian Nikita Mazepin. ""The prospect of being on the Formula One grid next year makes me incredibly happy...I'm simply speechless,"" said Mick. He is currently leading the Formula Two championship.",sports
'Zero' didn't show the trauma & tragedy of a dwarf: Actor Lilliput,"Actor Lilliput, who was recently seen in 'Mirzapur 2', has said Shah Rukh Khan's 2018 film 'Zero' didn't show the trauma and tragedy of a dwarf. ""Anushka Sharma played a woman with...far more tragic story than him (Shah Rukh)...She couldn't speak or walk,"" he added. ""He was the one jumping around...what problem does he have? Even...script was weird,"" said Lilliput.",entertainment
We're going to have more vaccines than we can possibly use: Elon Musk,"In a recent interview, Tesla and SpaceX CEO Elon Musk said, ""We're going to have so many (COVID-19) vaccines, we won't know what to do with them. More...than we can possibly use."" Musk has earlier been criticised for saying ""the coronavirus panic is dumb"" and even claiming the US will see ""close to zero new cases"" by April 2020.",technology
